Day,Temp,Description
This Afternoon,47,"Sunny. High near 47, with temperatures falling to around 45 in the afternoon. Southwest wind around 12 mph."
Tonight,38,"Mostly clear, with a low around 38. Southwest wind 7 to 10 mph."
Tuesday,59,"Sunny, with a high near 59. Southwest wind 7 to 13 mph."
Tuesday Night,44,"Mostly cloudy, with a low around 44. Southwest wind 6 to 12 mph."
Wednesday,57,"A slight chance of rain showers after 2pm. Mostly cloudy. High near 57, with temperatures falling to around 54 in the afternoon. South wind 6 to 13 mph. Chance of precipitation is 20%."
Wednesday Night,47,"A slight chance of rain showers. Mostly cloudy, with a low around 47."
Thursday,62,"A chance of rain showers. Cloudy, with a high near 62. Chance of precipitation is 50%."
Thursday Night,48,"A chance of rain showers. Cloudy, with a low around 48. Chance of precipitation is 50%."
Friday,53,"Rain showers likely. Cloudy, with a high near 53. Chance of precipitation is 60%."
Friday Night,44,"A chance of rain showers. Cloudy, with a low around 44. Chance of precipitation is 50%."
Saturday,51,"Rain showers likely. Cloudy, with a high near 51. Chance of precipitation is 70%."
Saturday Night,41,"Rain showers likely before 2am. Mostly cloudy, with a low around 41. Chance of precipitation is 70%."
Sunday,55,"Mostly sunny, with a high near 55."
Sunday Night,43,"A slight chance of rain showers after 2am. Partly cloudy, with a low around 43."
